,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
0,2.955,0.43729740529417,0.5690925277660883,1.6431300764452317e-16,0.10428783962712984,0.40285704354756113,0.4372974052941702,0.10995793446841812,baseline,sub-002
1,2.49,0.38611795572427865,0.5675255811916212,4.073130721593543e-17,0.12017861394180873,0.48793470945946615,0.3861179557242786,0.1051169438683164,baseline,sub-003
2,2.59,0.3751367510365708,0.5982159498817888,-1.7263968032921184e-16,0.11164829089654944,0.45828234656467787,0.37513675103657107,0.09441606560221706,baseline,sub-004
3,2.71,0.2425217079416669,0.6675251312184975,2.6645352591003756e-17,0.10480751082795915,0.3272719244488467,0.24252170794166694,0.10220581296403015,baseline,sub-005
4,3.05,0.3914072475027462,0.5770592338526488,7.827072323607353e-17,0.10309253242727195,0.442500974201906,0.3914072475027459,0.10731542864365896,baseline,sub-006
5,3.115,0.3587177682846101,0.5485207942913461,2.6534330288541243e-16,0.1111052017562303,0.48198109589617283,0.3587177682846103,0.08519068013596333,baseline,sub-007
6,2.1,0.42430364924959024,0.48807132255766655,-1.7069679003611783e-16,0.1156584189209541,0.5164051787465549,0.42430364924959024,0.09743373648933266,baseline,sub-008
7,3.0,0.43396967401368824,0.6337727377264083,1.6264767310758544e-16,0.10186114038687538,0.41082212948782115,0.4339696740136885,0.13321226417658114,baseline,sub-009
8,3.615,0.33704422737761286,0.5232210796292346,-6.217248937900877e-17,0.10340675085828988,0.5085054796241305,0.337044227377613,0.07952403720052534,baseline,sub-010
9,2.95,0.3213199133604511,0.5451066109355133,-1.5706186351494013e-16,0.11123066023462645,0.5114676976747702,0.32131991336045085,0.0708852986756598,baseline,sub-011
10,2.745,0.3268168831267518,0.6081786601866154,3.58046925441613e-17,0.09888734966320988,0.39039714766759337,0.3268168831267518,0.09689248175737013,baseline,sub-012
11,3.08,0.43697201647832534,0.5695455396439314,-1.432187701766452e-16,0.12632998892774913,0.5382552549649048,0.4369720164783253,0.09830855558985559,baseline,sub-013
12,2.425,0.36359504204852827,0.6243578964083963,-1.021405182655144e-16,0.10028538185820285,0.41390691705085714,0.36359504204852827,0.10575234598992993,baseline,sub-014
13,2.635,0.3909700246651245,0.5363472924821069,1.0935696792557792e-16,0.116146589073971,0.4898176109506875,0.3909700246651244,0.09083457119947227,baseline,sub-016
14,2.91,0.3865509352716498,0.5147417835119179,-2.2759572004815707e-16,0.11769920584731047,0.5462512732627083,0.3865509352716502,0.08655504552458504,baseline,sub-017
15,3.185,0.40277200759548637,0.5068598285817929,-2.020605904817785e-16,0.10804006159889797,0.4339503867810718,0.40277200759548626,0.10033884437951293,baseline,sub-018
16,3.08,0.33494714088579697,0.5296878509405958,3.82506526452886e-18,0.11177173129594122,0.5099079034268837,0.3349471408857971,0.07655611622168662,baseline,sub-019
17,2.665,0.4161256207675717,0.6688203334182016,4.4617087802123476e-17,0.08998156068487473,0.36625546935902525,0.4161256207675718,0.149722213200496,baseline,sub-022
18,3.21,0.2728935317231612,0.6015279219785703,4.8884507553026423e-17,0.09924084315512852,0.41056657084917647,0.27289353172316116,0.07553891533470533,baseline,sub-023
19,3.615,0.2826795531374229,0.536967072356439,2.3918367286768215e-16,0.099911756048576,0.4987589492234307,0.2826795531374229,0.06639197905749226,baseline,sub-024
20,2.5,0.45518340739343705,0.5526641225107539,2.3120394487818885e-16,0.10740594611115264,0.4684895221540455,0.45518340739343705,0.1103820357805811,baseline,sub-025
21,3.62,0.47887710501726055,0.5662684459630882,-1.4689638394571604e-16,0.10520700754353399,0.4338667537213934,0.47887710501726044,0.1241211955621752,baseline,sub-028
22,2.29,0.3476936641208489,0.6535292205219909,2.9032332093947846e-16,0.09382737976486581,0.38157285360791615,0.347693664120849,0.10469022216088787,baseline,sub-029
23,3.405,0.43128996128245256,0.628698609934773,-3.552713678800501e-17,0.09686910329763455,0.4043420980340584,0.4312899612824524,0.1185824826735283,baseline,sub-030
24,2.645,0.4160041923394434,0.5595990458473393,-1.4597698050344833e-16,0.11874553237219773,0.4798589555313452,0.41600419233944336,0.10572964009416999,baseline,sub-031
25,3.825,0.36202362606766086,0.5928345514596902,-1.2212453270876722e-17,0.10938807565158656,0.4323797364790327,0.3620236260676609,0.0907634940150079,baseline,sub-035
26,2.555,0.5281805977140498,0.5143141158946551,-1.4765966227514583e-16,0.11908158379915273,0.5067915302275777,0.5281805977140499,0.13318269513561237,baseline,sub-036
