"dataset","modality","node","eccentricity.cv","Group"
"1","1",1,0.0992648230281175,"CALM Structural"
"2","1",1,0.110521636008944,"NKI Structural"
"1","2",1,0.332962838077157,"CALM Functional"
"2","2",1,0.265032592551027,"NKI Functional"
"1","1",2,0.0887569759175072,"CALM Structural"
"2","1",2,0.0892428626617377,"NKI Structural"
"1","2",2,0.328087596499123,"CALM Functional"
"2","2",2,0.318951269890753,"NKI Functional"
"1","1",3,0.0883215954839956,"CALM Structural"
"2","1",3,0.0865727765383534,"NKI Structural"
"1","2",3,0.298449550486902,"CALM Functional"
"2","2",3,0.310742569974584,"NKI Functional"
"1","1",4,0.137005201954667,"CALM Structural"
"2","1",4,0.137250600589148,"NKI Structural"
"1","2",4,0.312719835467636,"CALM Functional"
"2","2",4,0.248219471911739,"NKI Functional"
"1","1",5,0.103575688333028,"CALM Structural"
"2","1",5,0.114170558811001,"NKI Structural"
"1","2",5,0.412356030646357,"CALM Functional"
"2","2",5,0.42553631809226,"NKI Functional"
"1","1",6,0.13891480789089,"CALM Structural"
"2","1",6,0.137809065974499,"NKI Structural"
"1","2",6,0.354543307311063,"CALM Functional"
"2","2",6,0.304742538249675,"NKI Functional"
"1","1",7,0.105881725602852,"CALM Structural"
"2","1",7,0.120563989769465,"NKI Structural"
"1","2",7,0.359454881519855,"CALM Functional"
"2","2",7,0.36745161607109,"NKI Functional"
"1","1",8,0.0661952562731155,"CALM Structural"
"2","1",8,0.0851460418941328,"NKI Structural"
"1","2",8,0.383967798223744,"CALM Functional"
"2","2",8,0.399297415292791,"NKI Functional"
"1","1",9,0.0855799365979419,"CALM Structural"
"2","1",9,0.115152795960984,"NKI Structural"
"1","2",9,0.328666935387781,"CALM Functional"
"2","2",9,0.389807773229028,"NKI Functional"
"1","1",10,0.0845827909141083,"CALM Structural"
"2","1",10,0.10841826870172,"NKI Structural"
"1","2",10,0.324544676333231,"CALM Functional"
"2","2",10,0.274589332912142,"NKI Functional"
"1","1",11,0.085519927411058,"CALM Structural"
"2","1",11,0.0993864280288531,"NKI Structural"
"1","2",11,0.289737287497516,"CALM Functional"
"2","2",11,0.317460603263782,"NKI Functional"
"1","1",12,0.11805276283091,"CALM Structural"
"2","1",12,0.160631388066788,"NKI Structural"
"1","2",12,0.295921185536388,"CALM Functional"
"2","2",12,0.27366258692063,"NKI Functional"
"1","1",13,0.0732834826029458,"CALM Structural"
"2","1",13,0.102172751936393,"NKI Structural"
"1","2",13,0.307441442712884,"CALM Functional"
"2","2",13,0.256787052092957,"NKI Functional"
"1","1",14,0.0845282711667057,"CALM Structural"
"2","1",14,0.106649010879346,"NKI Structural"
"1","2",14,0.297431347798309,"CALM Functional"
"2","2",14,0.273328320696952,"NKI Functional"
"1","1",15,0.155881136146598,"CALM Structural"
"2","1",15,0.202265440667208,"NKI Structural"
"1","2",15,0.284837544072714,"CALM Functional"
"2","2",15,0.332926223628405,"NKI Functional"
"1","1",16,0.0998838743030918,"CALM Structural"
"2","1",16,0.13840369680948,"NKI Structural"
"1","2",16,0.267025019064077,"CALM Functional"
"2","2",16,0.304408224534579,"NKI Functional"
"1","1",17,0.117475497174274,"CALM Structural"
"2","1",17,0.183164436598438,"NKI Structural"
"1","2",17,0.238810371271658,"CALM Functional"
"2","2",17,0.239159628066389,"NKI Functional"
"1","1",18,0.0929257550246885,"CALM Structural"
"2","1",18,0.101638542244881,"NKI Structural"
"1","2",18,0.228061384508592,"CALM Functional"
"2","2",18,0.247303053448003,"NKI Functional"
"1","1",19,0.141595088492694,"CALM Structural"
"2","1",19,0.171575106209827,"NKI Structural"
"1","2",19,0.212494988520882,"CALM Functional"
"2","2",19,0.240478554144225,"NKI Functional"
"1","1",20,0.0728986362088235,"CALM Structural"
"2","1",20,0.0889937079875061,"NKI Structural"
"1","2",20,0.321489991131969,"CALM Functional"
"2","2",20,0.351992438623086,"NKI Functional"
"1","1",21,0.0925496497341819,"CALM Structural"
"2","1",21,0.102470185571296,"NKI Structural"
"1","2",21,0.295183218349187,"CALM Functional"
"2","2",21,0.313012459981883,"NKI Functional"
"1","1",22,0.140792475238586,"CALM Structural"
"2","1",22,0.180526312586921,"NKI Structural"
"1","2",22,0.225175450937761,"CALM Functional"
"2","2",22,0.256503303364084,"NKI Functional"
"1","1",23,0.115169563278126,"CALM Structural"
"2","1",23,0.0993048272407407,"NKI Structural"
"1","2",23,0.275382427873148,"CALM Functional"
"2","2",23,0.279877610486523,"NKI Functional"
"1","1",24,0.100208334242771,"CALM Structural"
"2","1",24,0.112165841965109,"NKI Structural"
"1","2",24,0.275253642678239,"CALM Functional"
"2","2",24,0.289134091719213,"NKI Functional"
