,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
0,5.595,0.001639500494962484,0.5329033702708448,4.463096558993129e-16,0.04797823817826662,0.6962924316280876,0.0016395004949624843,0.007798850182227764,bas1,sub-A00018030
1,4.555,0.00165318994061728,0.5262871993920971,-5.10702591327572e-17,0.04789158529955891,0.7006990778300008,0.0016531899406172802,0.007781782548737536,bas1,sub-A00027159
2,4.565,0.0016711637841386835,0.5212192023846686,-1.1268763699945338e-16,0.04773166824660567,0.6982463278390376,0.0016711637841386837,0.007740661959079699,bas1,sub-A00027439
3,4.73,0.0015695828423817923,0.5254862717668997,-6.661338147750939e-18,0.04759017051270557,0.6983457396452117,0.0015695828423817934,0.007704636701566358,bas1,sub-A00027443
4,5.94,0.0017135366593549462,0.5350681422290995,1.4599432773820808e-16,0.04803557166454186,0.6900110556387176,0.001713536659354946,0.007761683073442553,bas1,sub-A00030980
5,4.54,0.0017204840584785369,0.5402588157443325,1.1102230246251566e-17,0.048863989980678646,0.7105678812826185,0.0017204840584785365,0.007775737778891003,bas1,sub-A00030981
6,4.58,0.0015166011165776894,0.5422531784152974,-2.0219936835985664e-16,0.049940352478304556,0.7204421767515458,0.0015166011165776885,0.007595060769345174,bas1,sub-A00031219
7,5.22,0.0016421371313186661,0.5326401698655305,4.9960036108132046e-17,0.04758777246138125,0.6875647669774028,0.0016421371313186676,0.007753321683747107,bas1,sub-A00031411
8,6.545,0.0015851717616587949,0.5345719685430992,-5.362377208939506e-16,0.04812268649645745,0.6923332399893624,0.0015851717616587942,0.007795233835341998,bas1,sub-A00031578
9,5.45,0.0015884406907790468,0.5191491630049186,1.176836406102666e-16,0.04708439153851891,0.7006624765149303,0.0015884406907790453,0.0077064287582705015,bas1,sub-A00031881
10,5.495,0.0016050059938263073,0.5401393298792603,7.788214517745473e-16,0.04814888117281147,0.6955497393746787,0.0016050059938263082,0.007717695376379841,bas1,sub-A00032008
11,5.715,0.0016245648339424516,0.5227958009194595,-4.4408920985006264e-17,0.04702819166141923,0.7005663799613617,0.001624564833942451,0.007717279786243961,bas1,sub-A00032817
12,5.59,0.0015886157432976396,0.5250768680061898,5.762057497804563e-16,0.04762074262758954,0.697907571551706,0.0015886157432976405,0.007741140426405795,bas1,sub-A00033714
13,4.935,0.0016806539354631705,0.5330285853419086,-3.5027536426923687e-16,0.04805520335036385,0.6966509042777318,0.0016806539354631705,0.00774569042259744,bas1,sub-A00034073
14,4.535,0.001694484525741408,0.5410432820729838,2.8477220581635265e-16,0.04835541901676579,0.6893001117053733,0.0016944845257414074,0.007834310975168448,bas1,sub-A00034074
15,5.525,0.0015942459457774201,0.5267234434454138,-1.7985612998927537e-16,0.0466248330220266,0.6991202441232589,0.0015942459457774208,0.007664080295313702,bas1,sub-A00034350
16,5.495,0.0016144716568423693,0.5362401267928385,-1.0547118733938987e-15,0.047686876132166774,0.7025660776708699,0.00161447165684237,0.007594155737915075,bas1,sub-A00035291
17,4.915,0.001592432581341786,0.5246743409489103,3.097522238704187e-16,0.04634139030412439,0.6841963820503221,0.0015924325813417863,0.007692510737127549,bas1,sub-A00035292
18,5.615,0.0015185437454554624,0.5210798669101446,1.249000902703301e-16,0.04809452540217776,0.7025416166797552,0.001518543745455463,0.007704880285212461,bas1,sub-A00035364
19,4.59,0.0015791237044274007,0.518174622566331,-4.0745185003743244e-16,0.04768815492911137,0.7109458129699353,0.0015791237044274014,0.007704885758187049,bas1,sub-A00035377
20,5.32,0.0016287180182699562,0.5261941197812714,7.982503547054876e-16,0.04731791736720955,0.7002514514774258,0.0016287180182699566,0.007711612749919629,bas1,sub-A00035561
21,4.83,0.0016434019481003244,0.5365154348519711,1.1002310174035301e-15,0.0487914658218441,0.7040739383551374,0.0016434019481003255,0.007857248875232285,bas1,sub-A00035869
22,6.175,0.0015763341628532257,0.5275421206956603,-1.4710455076283324e-16,0.047661880184235825,0.7088183196725016,0.0015763341628532257,0.00769502562155378,bas1,sub-A00035940
23,5.215,0.0016444441068975268,0.5263703072328735,1.0880185641326534e-16,0.04817657389683022,0.6860926485963592,0.0016444441068975268,0.007792974964706619,bas1,sub-A00035941
